RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31
395059,34,"San Jose, CA",Msa,CA,1071296.0,1104629.0,1154629.0,1208333.0,1243333.0,1259667.0,1242667.0,1199333.0,1155667.0,1122000.0,1088629.0,1048629.0,1015592.0,1031963.0,1065963.0,1113000.0,1139333.0,1156000.0,1144140.0,1118073.0,1101390.0,1099583.0,1096316.0,1072450.0,1072412.0,1108413.0,1165629.0,1192333.0,1192667.0,1209333.0,1237451.0,1254451.0,1254446.0,1248562.0,1248562.0,1231567.0,1216296.0,1216296.0,1234963.0,1251667.0,1268300.0,1283267.0,1296600.0,1286263.0,1279296.0,1266296.0,1243333.0,1216333.0,1228666.0,1278667.0,1346000.0
394355,35,"Austin, TX",Msa,TX,352224.0,354044.0,358299.0,362885.0,364256.0,364256.0,361220.0,355667.0,349589.0,345030.0,341601.0,337346.0,334628.0,336163.0,343111.0,352212.0,358291.0,355901.0,347695.0,338881.0,332802.0,329733.0,327893.0,324854.0,324884.0,328711.0,338970.0,346340.0,354383.0,363879.0,375049.0,384648.0,391639.0,397652.0,401951.0,401997.0,404330.0,415497.0,433997.0,458000.0,478000.0,493000.0,503333.0,507000.0,515330.0,519997.0,524993.0,524993.0,526163.0,535309.0,558645.0
395194,36,"Virginia Beach, VA",Msa,VA,258117.0,257794.0,260695.0,265176.0,270623.0,274201.0,276521.0,276554.0,276231.0,273972.0,272328.0,270555.0,271364.0,274297.0,279293.0,284902.0,288415.0,289995.0,289995.0,289995.0,289704.0,289414.0,289414.0,289704.0,289995.0,290024.0,293215.0,297269.0,303687.0,308905.0,314520.0,317743.0,317392.0,316391.0,313006.0,308250.0,302883.0,299930.0,301630.0,306662.0,309998.0,309998.0,305000.0,301667.0,300000.0,300000.0,300000.0,300000.0,300000.0,303333.0,309967.0
394902,37,"Nashville, TN",Msa,TN,372600.0,373933.0,376400.0,379600.0,379633.0,377966.0,374300.0,367933.0,362966.0,359800.0,358133.0,356433.0,354933.0,354933.0,356600.0,359933.0,364633.0,367967.0,367633.0,364600.0,361267.0,359600.0,357933.0,355967.0,352967.0,353000.0,354967.0,358296.0,362963.0,367996.0,374633.0,378267.0,381597.0,381630.0,381273.0,379577.0,381243.0,389267.0,399300.0,412630.0,424663.0,437997.0,447997.0,451630.0,451630.0,454967.0,460000.0,463300.0,460630.0,468930.0,489213.0
395005,38,"Providence, RI",Msa,RI,345871.0,347654.0,353073.0,359925.0,365170.0,366883.0,367057.0,367057.0,367057.0,365274.0,361429.0,356219.0,354471.0,357968.0,366358.0,376532.0,383839.0,387650.0,387964.0,387964.0,387650.0,385936.0,382440.0,375763.0,370519.0,373700.0,384188.0,394642.0,401949.0,408941.0,419464.0,424743.0,421282.0,410759.0,400271.0,396425.0,396607.0,407170.0,408000.0,413333.0,413000.0,427000.0,437000.0,442300.0,438267.0,436567.0,433233.0,431600.0,434633.0,441333.0,452667.0
394862,39,"Milwaukee, WI",Msa,WI,216100.0,217767.0,226233.0,237933.0,248633.0,255300.0,257267.0,254900.0,248267.0,242967.0,236300.0,232633.0,231267.0,234600.0,238233.0,238267.0,238267.0,239467.0,241133.0,241133.0,236600.0,231600.0,226467.0,221500.0,219800.0,221600.0,231600.0,241600.0,251600.0,256600.0,259967.0,256633.0,250800.0,243800.0,237833.0,232000.0,225667.0,223300.0,224933.0,229900.0,236567.0,236567.0,229933.0,218300.0,211633.0,206633.0,203267.0,196633.0,194933.0,193300.0,199633.0
394714,40,"Jacksonville, FL",Msa,FL,301300.0,304933.0,309967.0,314633.0,316580.0,316547.0,313103.0,307855.0,302555.0,298000.0,296300.0,296297.0,296327.0,297693.0,299697.0,304667.0,311667.0,314015.0,310682.0,304012.0,299663.0,299630.0,299300.0,298628.0,298628.0,301928.0,306267.0,307297.0,309330.0,312330.0,317967.0,319300.0,317967.0,314667.0,309333.0,306650.0,306554.0,310550.0,316897.0,326993.0,338663.0,346667.0,350163.0,352463.0,357460.0,362426.0,365459.0,367779.0,370983.0,378647.0,392997.0
394849,41,"Memphis, TN",Msa,TN,186900.0,182154.0,180885.0,183932.0,187107.0,194694.0,199614.0,205265.0,206884.0,208439.0,208693.0,205836.0,202694.0,200313.0,203170.0,207931.0,215550.0,220630.0,223804.0,223772.0,223296.0,223264.0,223296.0,223772.0,222217.0,222185.0,225328.0,230090.0,235709.0,241137.0,247486.0,251073.0,247261.0,244086.0,242848.0,243166.0,242382.0,239744.0,243067.0,247748.0,256178.0,259811.0,261597.0,261600.0,263300.0,266667.0,268333.0,266667.0,259967.0,249933.0,241267.0
394935,42,"Oklahoma City, OK",Msa,OK,235896.0,237953.0,242663.0,247839.0,252296.0,252985.0,252985.0,250208.0,248460.0,246712.0,246746.0,246746.0,248708.0,253439.0,262009.0,270876.0,277455.0,278860.0,276634.0,272113.0,268993.0,267279.0,267348.0,267348.0,269062.0,273004.0,278317.0,281745.0,286373.0,293419.0,299209.0,300580.0,296825.0,294525.0,293150.0,292465.0,292272.0,295545.0,303067.0,313833.0,321200.0,322947.0,319613.0,314447.0,309833.0,305196.0,305453.0,310420.0,321723.0,335413.0,349905.0
394807,43,"Louisville-Jefferson County, KY",Msa,KY,232000.0,240300.0,253933.0,266567.0,274600.0,276600.0,274800.0,271467.0,267833.0,265967.0,262133.0,257133.0,254133.0,257267.0,266900.0,278433.0,287467.0,291133.0,289633.0,284633.0,277967.0,269600.0,259933.0,252267.0,248800.0,253433.0,264739.0,278206.0,290206.0,296567.0,299600.0,296900.0,288567.0,278752.0,267318.0,261852.0,258667.0,264467.0,273267.0,283233.0,289933.0,293267.0,291633.0,288267.0,281633.0,278300.0,275000.0,275663.0,277297.0,282777.0,290413.0
394669,44,"Hartford, CT",Msa,CT,274858.0,279267.0,287784.0,293735.0,297463.0,297497.0,297497.0,297190.0,295479.0,293769.0,290657.0,288912.0,287202.0,289254.0,292709.0,299549.0,304338.0,310323.0,310323.0,310016.0,306048.0,302662.0,299550.0,297190.0,296163.0,296197.0,302320.0,310152.0,320379.0,328246.0,338438.0,344971.0,344971.0,341311.0,336489.0,333068.0,330507.0,332682.0,339900.0,348233.0,351567.0,346600.0,338300.0,330000.0,326667.0,324933.0,324933.0,329900.0,338267.0,349900.0,356567.0
395022,45,"Richmond, VA",Msa,VA,298076.0,298967.0,306871.0,318567.0,326292.0,329422.0,329731.0,327509.0,322729.0,315885.0,311228.0,309474.0,309440.0,311177.0,319809.0,331863.0,343814.0,348629.0,348990.0,343918.0,337383.0,330161.0,326687.0,326629.0,329363.0,334518.0,341438.0,350397.0,360065.0,370055.0,377243.0,381353.0,380304.0,379752.0,380726.0,384536.0,388069.0,392163.0,395830.0,398896.0,399263.0,394763.0,386525.0,380192.0,377025.0,380330.0,385663.0,395993.0,407327.0,416960.0,412630.0
394910,46,"New Orleans, LA",Msa,LA,245925.0,242592.0,243167.0,249500.0,257000.0,262167.0,263667.0,262800.0,259767.0,256900.0,253600.0,251633.0,249967.0,251633.0,255967.0,262633.0,269267.0,272267.0,272267.0,270300.0,269133.0,268167.0,267133.0,265133.0,262767.0,261467.0,263933.0,268967.0,276267.0,282600.0,288400.0,293433.0,296800.0,299000.0,299000.0,299000.0,297667.0,296187.0,296487.0,304487.0,314633.0,324333.0,326333.0,324333.0,321300.0,321300.0,324933.0,327967.0,331300.0,333958.0,335958.0
394425,47,"Buffalo, NY",Msa,NY,188746.0,190579.0,197913.0,207081.0,214415.0,218083.0,219916.0,219036.0,217239.0,213572.0,208951.0,203414.0,199784.0,200884.0,204588.0,211885.0,219953.0,227250.0,230954.0,227287.0,223340.0,219306.0,215639.0,212252.0,208915.0,208915.0,212582.0,219916.0,231284.0,242322.0,249656.0,249290.0,245586.0,240085.0,236418.0,232054.0,229882.0,236209.0,246567.0,259900.0,266267.0,265967.0,259300.0,249600.0,241600.0,234967.0,231633.0,229933.0,229600.0,229600.0,232966.0
395012,48,"Raleigh, NC",Msa,NC,344002.0,345635.0,352363.0,361972.0,368347.0,368347.0,366427.0,363175.0,359683.0,353276.0,347910.0,343425.0,341503.0,342143.0,348551.0,358802.0,368381.0,371584.0,368669.0,363864.0,360628.0,358706.0,354734.0,349928.0,346725.0,349095.0,355182.0,358795.0,364061.0,369219.0,378420.0,383438.0,387055.0,389610.0,390605.0,390413.0,390413.0,393933.0,399577.0,406240.0,411340.0,415727.0,420063.0,423330.0,425000.0,424967.0,425367.0,425367.0,425400.0,427333.0,437675.0
394388,49,"Birmingham, AL",Msa,AL,206683.0,207217.0,215217.0,226584.0,236051.0,239384.0,239900.0,239900.0,238233.0,234600.0,230967.0,229300.0,229600.0,233233.0,239900.0,249900.0,258567.0,265233.0,270267.0,271633.0,272333.0,272102.0,272068.0,269733.0,266598.0,265798.0,267433.0,269100.0,273233.0,278100.0,281967.0,281833.0,277000.0,274800.0,273300.0,276113.0,277180.0,279147.0,281300.0,287233.0,293267.0,295933.0,293633.0,290633.0,289633.0,293583.0,297883.0,300032.0,294902.0,280602.0,265154.0
395053,50,"Salt Lake City, UT",Msa,UT,416371.0,421643.0,428742.0,434759.0,441894.0,445781.0,447219.0,445089.0,440102.0,432825.0,427535.0,425264.0,425406.0,429275.0,436516.0,448941.0,459590.0,466548.0,464790.0,459501.0,454354.0,452561.0,453435.0,456984.0,464049.0,475596.0,484467.0,482727.0,479146.0,482344.0,493029.0,498567.0,497147.0,495336.0,500341.0,512410.0,525714.0,533801.0,531667.0,536333.0,547967.0,562967.0,564438.0,559853.0,551520.0,547049.0,545000.0,554663.0,569663.0,585930.0,601367.0
395031,51,"Rochester, NY",Msa,NY,183757.0,190896.0,200962.0,213063.0,221987.0,226199.0,222665.0,215561.0,208422.0,203425.0,199106.0,199106.0,204425.0,215883.0,228411.0,241619.0,248722.0,251399.0,248901.0,243546.0,235479.0,224771.0,217275.0,210172.0,210814.0,220095.0,236158.0,253363.0,262286.0,267605.0,268351.0,268167.0,260885.0,253000.0,246045.0,253143.0,261047.0,274718.0,280667.0,282333.0,273233.0,261600.0,253267.0,244967.0,234966.0,224666.0,219332.0,216817.0,218817.0,222450.0,224933.0
394640,52,"Grand Rapids, MI",Msa,MI,261633.0,269967.0,281667.0,291667.0,298300.0,299967.0,298300.0,293500.0,288467.0,285433.0,286900.0,288567.0,289900.0,292933.0,298967.0,307333.0,312633.0,313267.0,310933.0,305933.0,302300.0,296267.0,292933.0,289900.0,292933.0,297933.0,306267.0,313233.0,318233.0,319900.0,321267.0,321300.0,321300.0,318695.0,318695.0,320788.0,326106.0,335439.0,344462.0,353178.0,361145.0,369730.0,376967.0,378300.0,376767.0,371767.0,369767.0,373244.0,384877.0,401544.0,414933.0
395167,53,"Tucson, AZ",Msa,AZ,260933.0,264300.0,269333.0,275000.0,280000.0,281333.0,281300.0,280967.0,282967.0,282997.0,281497.0,279663.0,279667.0,282333.0,288167.0,294800.0,298933.0,298267.0,296300.0,293553.0,293520.0,293803.0,294530.0,292863.0,292913.0,294933.0,298300.0,298933.0,300600.0,308933.0,319933.0,329967.0,328300.0,323333.0,319844.0,321511.0,326707.0,335163.0,349493.0,365930.0,376937.0,383113.0,383113.0,380473.0,374967.0,370000.0,368000.0,367967.0,371267.0,377267.0,387267.0
753924,54,"Urban Honolulu, HI",Msa,HI,664333.0,661667.0,654629.0,647963.0,650963.0,658000.0,663000.0,668333.0,671667.0,669667.0,664667.0,662333.0,669000.0,671667.0,672333.0,668667.0,669000.0,670333.0,670667.0,669333.0,661333.0,654967.0,649633.0,647967.0,642767.0,636433.0,629767.0,621667.0,611333.0,604667.0,606333.0,606333.0,599667.0,591000.0,591000.0,599333.0,602667.0,586333.0,576000.0,575333.0,600333.0,624000.0,651667.0,676333.0,691333.0,691333.0,684667.0,674667.0,673000.0,678333.0,696667.0
